"datetime","demand_fcast","demand","tempsim"
"80",2020-01-04 07:30:00,4.74417770420349,4.624,3.96730781115977
"81",2020-01-04 08:30:00,5.30895202168601,5.064,7.23366792012539
"82",2020-01-04 09:30:00,5.73955280314928,5.32,5.29449451242715
"83",2020-01-04 10:30:00,5.6123845456382,5.307,4.80431620201919
"84",2020-01-04 11:30:00,5.50543849024515,5.187,2.25760065056322
"85",2020-01-04 12:30:00,5.26966329294821,5.032,2.97199801922627
"86",2020-01-04 13:30:00,5.0138285874237,4.857,2.84983450854246
"87",2020-01-04 14:30:00,4.87797233001612,4.72,5.53741741033382
"88",2020-01-04 15:30:00,4.97210014631584,4.754,7.30220653221335
"89",2020-01-04 16:30:00,5.30368789712456,4.988,3.26453616311587
"90",2020-01-04 17:30:00,6.01549626618605,5.492,6.37357177298459
"91",2020-01-04 18:30:00,6.24605331002767,5.693,6.28081662972131
"92",2020-01-04 19:30:00,5.66397594022604,5.561,4.79995743934056
"93",2020-01-04 20:30:00,5.46534610367908,5.335,4.37173097897419
"94",2020-01-04 21:30:00,5.12303209395499,5.095,0.820019529891925
"95",2020-01-04 22:30:00,5.11697899386281,4.969,4.96763179610785
"96",2020-01-04 23:30:00,5.02368074991675,4.695,3.91125813769372
"97",2020-01-05 00:30:00,4.92294508540135,4.361,5.97254208731914
"98",2020-01-05 01:30:00,4.60272862832068,4.13,6.36717051722482
"99",2020-01-05 02:30:00,4.407619536478,3.975,5.3827204795833
"100",2020-01-05 03:30:00,4.27968127865613,3.913,6.45361905724197
"101",2020-01-05 04:30:00,4.26584418073664,3.89,9.90727608513693
"102",2020-01-05 05:30:00,4.29783188586262,3.924,10.4530227207586
"103",2020-01-05 06:30:00,4.25858999201805,4.031,4.74675896272924
"104",2020-01-05 07:30:00,4.47135087974413,4.23,6.76194525542807
"105",2020-01-05 08:30:00,5.01642937506723,4.669,7.23208522182309
"106",2020-01-05 09:30:00,5.50439317469165,5.088,7.04547797304023
"107",2020-01-05 10:30:00,5.4620659851541,5.36,7.33566148859926
"108",2020-01-05 11:30:00,5.53843085647154,5.456,8.50427371563802
"109",2020-01-05 12:30:00,5.5544629645777,5.488,9.2168856901834
"110",2020-01-05 13:30:00,5.46536673753909,5.456,15.8265162315901
"111",2020-01-05 14:30:00,5.39346988159921,5.394,9.22158173249221
"112",2020-01-05 15:30:00,5.45714520642764,5.421,5.8937855293754
"113",2020-01-05 16:30:00,5.71638130167132,5.639,5.52124908901922
"114",2020-01-05 17:30:00,6.2411338705882,6.02,6.27129794797755
"115",2020-01-05 18:30:00,6.40186537039065,6.188,5.84192331679714
"116",2020-01-05 19:30:00,6.01406578700302,6.045,7.10801543599991
"117",2020-01-05 20:30:00,5.84566156817924,5.826,10.0559417603044
"118",2020-01-05 21:30:00,5.4702685075724,5.5,9.5817306260607
"119",2020-01-05 22:30:00,5.22812474251822,5.292,10.5444686932871
"120",2020-01-05 23:30:00,5.01780176607418,4.917,13.3436353494157
"121",2020-01-06 00:30:00,4.8394376934559,4.528,15.6337517009596
"122",2020-01-06 01:30:00,4.488634483731,4.303,11.8329402216156
"123",2020-01-06 02:30:00,4.35409633755259,4.19,10.2118876155641
"124",2020-01-06 03:30:00,4.27595087932796,4.155,11.5971701210385
"125",2020-01-06 04:30:00,4.28016231920492,4.214,13.5533476720186
"126",2020-01-06 05:30:00,4.45840900616979,4.399,13.0731653015017
"127",2020-01-06 06:30:00,4.77840617190059,4.935,13.198134471171
"128",2020-01-06 07:30:00,5.21915524067073,5.517,12.3973424937391
"129",2020-01-06 08:30:00,5.71585849197117,5.975,9.80748767640878
